date,nav_118632,nav_118834,nav_118989,nav_119092,nav_119551,nav_120503,nav_120841,nav_122639,nav_125497
2013-06-12,13.3408,12.94,17.536,24.9347,103.3913,14.8527,31.5693,9.9288,
2013-06-13,13.199,12.719,17.301,24.9402,103.4056,14.6936,31.5726,9.9118,
2013-06-14,13.4526,12.892,17.509,24.9455,103.4267,14.8852,31.5823,9.9549,
2013-06-15,13.4526,12.892,17.509,24.9455,103.4267,14.8852,31.5823,9.9549,
2013-06-16,13.4526,12.892,17.509,24.9567,103.4267,14.8852,31.5823,9.9549,
2013-06-17,13.5024,12.966,17.593,24.9622,103.154,14.9613,31.6026,9.9818,
2013-06-18,13.4342,12.975,17.634,24.9678,103.221,14.9532,31.6199,9.9964,
2013-06-19,13.4689,13.063,17.676,24.9733,103.2602,15.0209,31.6167,10.0085,
2013-06-20,13.142,12.825,17.423,24.9788,103.2642,14.7284,30.9819,9.9306,
2013-06-21,13.1933,12.728,17.343,24.9844,103.2992,14.7306,31.5604,9.9161,
2013-06-22,13.1933,12.728,17.343,24.9844,103.2992,14.7306,31.5604,9.9161,
2013-06-23,13.1933,12.728,17.343,24.9955,103.2992,14.7306,31.5604,9.9161,
2013-06-24,12.9791,12.537,17.043,25.0009,103.3469,14.4707,31.5935,9.8034,
2013-06-25,12.9839,12.505,16.959,25.0065,103.3595,14.4939,31.5983,9.7828,
2013-06-26,12.9478,12.478,16.925,25.0121,103.3772,14.4661,31.5682,9.7543,
2013-06-27,13.1137,12.525,16.927,25.0177,103.3957,14.5856,31.551,9.7919,
2013-06-28,13.445,12.758,17.223,25.0257,103.4072,14.9322,31.6061,9.8992,
2013-06-29,13.445,12.758,17.223,25.0257,103.4072,14.9322,31.6061,9.8992,
2013-06-30,13.445,12.758,17.223,25.0257,103.4072,14.9322,31.6061,9.8992,
2013-07-01,13.6086,12.907,17.452,25.0444,103.4072,15.0643,31.6354,9.9352,
2013-07-02,13.5237,12.873,17.422,25.0506,103.2075,15.0405,31.6447,9.9357,
2013-07-03,13.2808,12.732,17.171,25.0562,103.2267,14.8874,31.6149,9.9149,
2013-07-04,13.3744,12.799,17.289,25.0619,103.265,15.0843,31.7005,9.9544,
2013-07-05,13.4009,12.778,17.325,25.0681,103.2854,15.1472,31.7308,9.9713,
2013-07-06,13.4009,12.778,17.325,25.0681,103.2854,15.1472,31.7308,9.9713,
2013-07-07,13.4009,12.778,17.325,25.0783,103.2854,15.1472,31.7308,9.9713,
2013-07-08,13.2314,12.701,17.278,25.0838,103.3431,15.0639,31.6958,9.9518,
2013-07-09,13.3168,12.778,17.455,25.0893,103.368,15.2741,31.7138,10.0018,
2013-07-10,13.259,12.796,17.426,25.0948,103.3886,15.273,31.7128,10.0079,
2013-07-11,13.4425,12.872,17.576,25.1004,103.4083,15.4709,31.757,10.0617,
2013-07-12,13.6028,12.922,17.662,25.1064,103.4314,15.6022,31.8051,10.1284,
2013-07-13,13.6028,12.922,17.662,25.1064,103.4314,15.6022,31.8051,10.1284,
2013-07-14,13.6028,12.922,17.662,25.117,103.4314,15.6022,31.8051,10.1284,
2013-07-15,13.6813,13.019,17.835,25.1225,103.4995,15.661,31.8193,10.1833,
2013-07-16,13.4826,12.871,17.586,25.0654,102.6046,15.4107,31.5549,10.1081,
